Wall time,Step,Value
1539605979.864717,0,0.559999942779541
1539605980.019252,100,0.25999999046325684
1539605980.158253,200,0.8799999952316284
1539605980.298304,300,0.9799999594688416
1539605980.433029,400,0.9799999594688416
1539605980.570427,500,0.9799999594688416
1539605980.706265,600,0.9799999594688416
1539605980.842696,700,0.9799999594688416
1539605980.980943,800,0.9799999594688416
1539605981.11831,900,0.9799999594688416
1539605981.257374,1000,0.9799999594688416
1539605981.393026,1100,1.0
1539605981.525861,1200,1.0
1539605981.65582,1300,1.0
1539605981.787135,1400,1.0
1539605981.920578,1500,1.0
1539605982.051705,1600,1.0
1539605982.180225,1700,1.0
1539605982.310673,1800,1.0
1539605982.439449,1900,1.0
1539605982.574452,2000,1.0
1539605982.714414,2100,1.0
1539605982.850309,2200,1.0
1539605982.982883,2300,1.0
1539605983.113102,2400,1.0
1539605983.243149,2500,1.0
1539605983.374298,2600,1.0
1539605983.507925,2700,1.0
1539605983.638174,2800,1.0
1539605983.767618,2900,1.0
