Wall time,Step,Value
1539605979.864647,0,1.0987353324890137
1539605980.01921,100,1.0550333261489868
1539605980.158212,200,0.6702250838279724
1539605980.298262,300,0.5861934423446655
1539605980.432988,400,0.5816840529441833
1539605980.570384,500,0.5801321864128113
1539605980.706213,600,0.5792425870895386
1539605980.842655,700,0.5786817669868469
1539605980.980901,800,0.5782939791679382
1539605981.11827,900,0.5780107975006104
1539605981.257333,1000,0.5777953863143921
1539605981.392983,1100,0.5776165723800659
1539605981.52582,1200,0.5774677991867065
1539605981.655779,1300,0.577336847782135
1539605981.787093,1400,0.5772182941436768
1539605981.920538,1500,0.5771079659461975
1539605982.051665,1600,0.5770037770271301
1539605982.180186,1700,0.5769046545028687
1539605982.310633,1800,0.5768072605133057
1539605982.439408,1900,0.5767127275466919
1539605982.574408,2000,0.5766201019287109
1539605982.714366,2100,0.5765277743339539
1539605982.850264,2200,0.5764350295066833
1539605982.98284,2300,0.5763453245162964
1539605983.11306,2400,0.5762560963630676
1539605983.24311,2500,0.5761678814888
1539605983.374252,2600,0.5760805010795593
1539605983.507884,2700,0.575993001461029
1539605983.638131,2800,0.5759065747261047
1539605983.767578,2900,0.5758204460144043
