Wall time,Step,Value
1541424532.409831,0,2319.78515625
1541424532.643102,11,632.6712646484375
1541424532.731132,22,460.42938232421875
1541424532.817397,33,284.4544982910156
1541424532.902962,44,320.0230712890625
1541424532.988221,55,317.9258117675781
1541424533.073853,66,277.02911376953125
1541424533.159549,77,260.0553894042969
1541424533.245981,88,225.40890502929688
1541424533.331434,99,187.20672607421875
1541424533.41706,110,194.4832763671875
1541424533.506293,121,188.72186279296875
1541424533.591785,132,203.07171630859375
1541424533.676527,143,179.42581176757812
1541424533.762889,154,175.00599670410156
1541424533.848314,165,177.40008544921875
1541424533.932898,176,189.71145629882812
1541424534.018022,187,159.629638671875
1541424534.101961,198,161.26980590820312
1541424534.187573,209,142.41546630859375
1541424534.273319,220,136.32785034179688
1541424534.362457,231,146.9937286376953
1541424534.446654,242,147.8020477294922
1541424534.530876,253,133.4930877685547
1541424534.616326,264,149.91554260253906
1541424534.701241,275,125.5024185180664
1541424534.786879,286,136.79144287109375
1541424534.872172,297,120.880859375
1541424534.95722,308,140.88973999023438
1541424535.041809,319,139.5105743408203
1541424535.126246,330,131.9237060546875
1541424535.213798,341,107.39022064208984
1541424535.300851,352,150.82122802734375
1541424535.383905,363,132.68099975585938
1541424535.468956,374,109.24789428710938
1541424535.553639,385,115.65560913085938
1541424535.638328,396,112.05341339111328
1541424535.723413,407,121.85826110839844
1541424535.807916,418,95.86886596679688
1541424535.892476,429,95.0333251953125
1541424535.976104,440,105.66145324707031
1541424536.063056,451,87.3256607055664
1541424536.148026,462,91.80659484863281
1541424536.23293,473,104.12213134765625
1541424536.317203,484,98.28164672851562
1541424536.401531,495,81.4957046508789
1541424536.486771,506,111.98698425292969
1541424536.570944,517,95.11849212646484
1541424536.657692,528,78.10210418701172
1541424536.741923,539,87.02073669433594
1541424536.825834,550,78.51825714111328
1541424536.911771,561,86.13539123535156
1541424536.99627,572,70.1817398071289
1541424537.081089,583,93.83024597167969
1541424537.164983,594,66.59961700439453
1541424537.248869,605,86.44384765625
1541424537.333631,616,82.61616516113281
1541424537.419064,627,86.47953796386719
1541424537.504296,638,69.83616638183594
1541424537.588668,649,91.30447387695312
1541424537.674372,660,72.46685791015625
1541424537.761043,671,98.90531921386719
1541424537.844703,682,83.99998474121094
1541424537.928964,693,61.08540344238281
1541424538.012478,704,57.7248649597168
1541424538.096489,715,78.76437377929688
1541424538.180203,726,57.843544006347656
1541424538.264494,737,71.97291564941406
1541424538.349573,748,75.92086791992188
1541424538.434314,759,78.92770385742188
1541424538.518161,770,55.047508239746094
1541424538.605107,781,81.2098617553711
1541424538.688969,792,51.679691314697266
1541424538.772638,803,68.076416015625
1541424538.856851,814,73.22267150878906
1541424538.940408,825,69.36576080322266
1541424539.024344,836,70.1372299194336
1541424539.107606,847,75.0920639038086
1541424539.191721,858,71.21894836425781
1541424539.276253,869,55.33628845214844
1541424539.360385,880,56.93642044067383
1541424539.44741,891,56.57648468017578
1541424539.531772,902,52.800437927246094
1541424539.615728,913,60.02080154418945
1541424539.69958,924,61.78975296020508
1541424539.784132,935,53.57328796386719
1541424539.8695,946,77.45338439941406
1541424539.954508,957,48.20456314086914
1541424540.038636,968,58.36009979248047
1541424540.122329,979,47.918426513671875
1541424540.207238,990,52.531341552734375
1541424540.39773,1001,41.9656982421875
1541424540.483661,1012,52.94181442260742
1541424540.570644,1023,59.717803955078125
1541424540.656115,1034,60.156822204589844
1541424540.741087,1045,60.788787841796875
1541424540.8264,1056,40.96444320678711
1541424540.911451,1067,47.70115661621094
1541424540.996071,1078,41.843467712402344
1541424541.081575,1089,53.79802703857422
1541424541.166894,1100,49.49822998046875
1541424541.253878,1111,49.395790100097656
1541424541.339298,1122,40.984771728515625
1541424541.423897,1133,56.74853515625
1541424541.508386,1144,45.510658264160156
1541424541.592982,1155,48.683319091796875
1541424541.677955,1166,47.41096496582031
1541424541.763636,1177,39.70984649658203
1541424541.847985,1188,55.3462028503418
1541424541.933027,1199,36.314048767089844
1541424542.018101,1210,41.14548873901367
1541424542.104769,1221,43.680702209472656
1541424542.190179,1232,47.25864028930664
1541424542.274951,1243,42.7573356628418
1541424542.359911,1254,44.407020568847656
1541424542.44491,1265,39.75279998779297
1541424542.529301,1276,34.431880950927734
1541424542.614412,1287,38.279571533203125
1541424542.698848,1298,47.357269287109375
1541424542.783713,1309,39.33114242553711
1541424542.869465,1320,40.578739166259766
1541424542.958723,1331,37.89729690551758
1541424543.044004,1342,40.48908233642578
1541424543.130181,1353,30.800451278686523
1541424543.21543,1364,52.236549377441406
1541424543.302717,1375,41.386253356933594
1541424543.388294,1386,35.530094146728516
1541424543.472665,1397,44.56977844238281
1541424543.558984,1408,36.589847564697266
1541424543.644278,1419,38.95436477661133
1541424543.729197,1430,43.36311340332031
1541424543.816997,1441,33.65225601196289
1541424543.902137,1452,41.76764678955078
1541424543.986931,1463,39.97817611694336
1541424544.072386,1474,32.79327392578125
1541424544.1576,1485,27.864418029785156
1541424544.242608,1496,36.14089584350586
1541424544.327148,1507,30.009689331054688
1541424544.412111,1518,30.47005271911621
1541424544.496874,1529,38.416770935058594
1541424544.581865,1540,35.083221435546875
1541424544.668338,1551,38.12788772583008
1541424544.754681,1562,36.75194549560547
1541424544.840433,1573,26.702287673950195
1541424544.926052,1584,38.06494903564453
1541424545.011047,1595,40.909664154052734
1541424545.096539,1606,33.42806625366211
1541424545.181751,1617,37.87445831298828
1541424545.266233,1628,35.50981521606445
1541424545.350912,1639,30.23756980895996
1541424545.436259,1650,30.1566104888916
1541424545.52362,1661,31.363025665283203
1541424545.608539,1672,29.169391632080078
1541424545.693514,1683,26.576528549194336
1541424545.777765,1694,32.02068328857422
1541424545.862519,1705,39.564735412597656
1541424545.947103,1716,30.884502410888672
1541424546.031857,1727,41.63922119140625
1541424546.115974,1738,29.87604331970215
1541424546.20046,1749,29.319381713867188
1541424546.285768,1760,24.9936466217041
1541424546.373714,1771,30.298723220825195
1541424546.457361,1782,24.52137565612793
1541424546.540793,1793,28.81032943725586
1541424546.626646,1804,37.091312408447266
1541424546.710784,1815,32.805931091308594
1541424546.793496,1826,35.82245635986328
1541424546.877824,1837,27.079240798950195
1541424546.96134,1848,26.953079223632812
1541424547.044961,1859,25.75159454345703
1541424547.128263,1870,28.391408920288086
1541424547.214617,1881,27.288721084594727
1541424547.298437,1892,20.427875518798828
1541424547.382713,1903,23.134262084960938
1541424547.467114,1914,30.906803131103516
1541424547.551268,1925,27.281963348388672
1541424547.635201,1936,25.67951774597168
1541424547.718445,1947,23.613637924194336
1541424547.802079,1958,25.234561920166016
1541424547.885998,1969,28.337890625
1541424547.969209,1980,21.460186004638672
1541424548.054717,1991,20.91869354248047
1541424548.233299,2002,23.008831024169922
1541424548.317544,2013,21.85285186767578
1541424548.400625,2024,25.471464157104492
1541424548.484276,2035,25.235393524169922
1541424548.56813,2046,24.459665298461914
1541424548.652407,2057,19.49896240234375
1541424548.736555,2068,22.350814819335938
1541424548.822085,2079,25.701261520385742
1541424548.905519,2090,21.39628791809082
1541424548.993621,2101,24.911907196044922
1541424549.078542,2112,25.115924835205078
1541424549.162719,2123,23.3377742767334
1541424549.246859,2134,20.935813903808594
1541424549.331068,2145,30.931034088134766
1541424549.415843,2156,22.763025283813477
1541424549.501311,2167,22.619356155395508
1541424549.586692,2178,23.97164535522461
1541424549.671127,2189,22.006019592285156
1541424549.755023,2200,26.27001190185547
1541424549.841901,2211,23.630020141601562
1541424549.926514,2222,19.27444839477539
1541424550.011348,2233,16.6866455078125
1541424550.096455,2244,22.08814239501953
1541424550.179752,2255,22.777366638183594
1541424550.26344,2266,16.768844604492188
1541424550.346681,2277,22.09332275390625
1541424550.431587,2288,19.080476760864258
1541424550.515908,2299,18.07124900817871
1541424550.600713,2310,27.4625186920166
1541424550.687377,2321,20.49601173400879
1541424550.77112,2332,24.412860870361328
1541424550.856205,2343,17.70929718017578
1541424550.941654,2354,14.209814071655273
1541424551.02643,2365,22.809349060058594
1541424551.113527,2376,22.47634506225586
1541424551.198933,2387,21.366073608398438
1541424551.284397,2398,24.811355590820312
1541424551.371608,2409,21.781822204589844
1541424551.455438,2420,17.56218719482422
1541424551.543568,2431,17.38629913330078
1541424551.626882,2442,15.311193466186523
1541424551.709321,2453,17.20155906677246
1541424551.793195,2464,14.735718727111816
1541424551.876747,2475,19.485754013061523
1541424551.960758,2486,23.289215087890625
1541424552.043698,2497,16.890201568603516
1541424552.125079,2508,23.269065856933594
1541424552.207617,2519,18.776042938232422
1541424552.289587,2530,17.806377410888672
1541424552.375207,2541,15.022890090942383
1541424552.458587,2552,21.413354873657227
1541424552.541807,2563,16.338695526123047
1541424552.625151,2574,18.962568283081055
1541424552.708309,2585,21.613197326660156
1541424552.791087,2596,17.016681671142578
1541424552.874167,2607,19.11354637145996
1541424552.956687,2618,15.789874076843262
1541424553.040043,2629,16.434490203857422
1541424553.124315,2640,16.40801239013672
1541424553.210937,2651,17.267990112304688
1541424553.294637,2662,19.173995971679688
1541424553.377895,2673,14.770359992980957
1541424553.460956,2684,16.723583221435547
1541424553.543897,2695,20.58810806274414
1541424553.626589,2706,15.716484069824219
1541424553.709588,2717,15.83481502532959
