Wall time,Step,Value
1541424857.931731,0,3107.746337890625
1541424858.175993,11,946.682373046875
1541424858.27323,22,977.73974609375
1541424858.366514,33,597.5798950195312
1541424858.457501,44,525.045654296875
1541424858.548838,55,518.128173828125
1541424858.64077,66,450.6890563964844
1541424858.732611,77,464.3031921386719
1541424858.824213,88,504.51715087890625
1541424858.916575,99,458.13226318359375
1541424859.006718,110,372.01885986328125
1541424859.099908,121,395.23455810546875
1541424859.194919,132,371.7271423339844
1541424859.285687,143,451.30413818359375
1541424859.375895,154,275.960693359375
1541424859.466681,165,278.6306457519531
1541424859.556511,176,394.52197265625
1541424859.647228,187,296.77850341796875
1541424859.737511,198,263.19671630859375
1541424859.828744,209,251.49778747558594
1541424859.919556,220,270.8605041503906
1541424860.012996,231,246.84771728515625
1541424860.102755,242,317.014892578125
1541424860.195177,253,284.849609375
1541424860.286734,264,240.89585876464844
1541424860.378057,275,219.78646850585938
1541424860.468483,286,231.8359832763672
1541424860.559438,297,237.14492797851562
1541424860.651453,308,213.51158142089844
1541424860.742056,319,245.96217346191406
1541424860.833311,330,228.7888946533203
1541424860.92699,341,225.48403930664062
1541424861.01816,352,197.13809204101562
1541424861.110211,363,185.587158203125
1541424861.201514,374,206.805419921875
1541424861.292011,385,176.56887817382812
1541424861.383673,396,194.40565490722656
1541424861.474567,407,169.36358642578125
1541424861.566316,418,188.8391571044922
1541424861.658128,429,191.35275268554688
1541424861.747659,440,174.55291748046875
1541424861.841219,451,207.8674774169922
1541424861.932294,462,160.1556854248047
1541424862.023543,473,171.0957489013672
1541424862.116057,484,180.78268432617188
1541424862.208083,495,176.3671875
1541424862.299432,506,173.48086547851562
1541424862.390186,517,136.16041564941406
1541424862.480509,528,124.77741241455078
1541424862.571619,539,175.71688842773438
1541424862.66326,550,164.1849365234375
1541424862.757193,561,113.68610382080078
1541424862.847665,572,136.95294189453125
1541424862.939188,583,132.41348266601562
1541424863.028736,594,105.2054672241211
1541424863.118448,605,133.81918334960938
1541424863.209591,616,132.34742736816406
1541424863.300683,627,103.36767578125
1541424863.390436,638,117.87996673583984
1541424863.480435,649,121.76631164550781
1541424863.572113,660,126.37760925292969
1541424863.665033,671,143.35635375976562
1541424863.756264,682,113.60892486572266
1541424863.84844,693,108.95420837402344
1541424863.939789,704,123.26914978027344
1541424864.029771,715,100.50303649902344
1541424864.12037,726,94.99595642089844
1541424864.210556,737,116.71438598632812
1541424864.301649,748,104.74530029296875
1541424864.392346,759,103.6965560913086
1541424864.48155,770,118.10842895507812
1541424864.575085,781,108.37139129638672
1541424864.666239,792,77.0569839477539
1541424864.757493,803,103.56759643554688
1541424864.849013,814,93.17181396484375
1541424864.939157,825,113.13383483886719
1541424865.030238,836,92.19610595703125
1541424865.121816,847,85.6703109741211
1541424865.211582,858,113.72434997558594
1541424865.300905,869,98.8818130493164
1541424865.391518,880,105.45030975341797
1541424865.912926,891,95.23930358886719
1541424866.006807,902,94.97355651855469
1541424866.295085,913,101.944580078125
1541424866.387379,924,109.5940933227539
1541424866.478852,935,107.29119110107422
