Wall time,Step,Value
1541424532.415967,0,0.0859375
1541424532.635066,10,0.1328125
1541424532.715755,20,0.140625
1541424532.794446,30,0.1484375
1541424532.87283,40,0.2421875
1541424532.950723,50,0.171875
1541424533.028409,60,0.21875
1541424533.106458,70,0.2109375
1541424533.185108,80,0.265625
1541424533.263939,90,0.265625
1541424533.341638,100,0.21875
1541424533.419768,110,0.2265625
1541424533.498741,120,0.2578125
1541424533.576328,130,0.3046875
1541424533.653963,140,0.2265625
1541424533.733208,150,0.2890625
1541424533.811096,160,0.2734375
1541424533.888171,170,0.3828125
1541424533.965972,180,0.2890625
1541424534.042964,190,0.359375
1541424534.119883,200,0.390625
1541424534.198238,210,0.2890625
1541424534.276111,220,0.3046875
1541424534.35456,230,0.2421875
1541424534.431814,240,0.390625
1541424534.508684,250,0.2734375
1541424534.586439,260,0.34375
1541424534.664569,270,0.34375
1541424534.741373,280,0.359375
1541424534.819484,290,0.3828125
1541424534.89738,300,0.4140625
1541424534.97481,310,0.296875
1541424535.051646,320,0.3515625
1541424535.128844,330,0.28125
1541424535.206495,340,0.3125
1541424535.285848,350,0.3671875
1541424535.361767,360,0.28125
1541424535.438999,370,0.375
1541424535.516322,380,0.3515625
1541424535.593868,390,0.296875
1541424535.671999,400,0.2890625
1541424535.748295,410,0.3671875
1541424535.825745,420,0.3671875
1541424535.902309,430,0.40625
1541424535.978684,440,0.265625
1541424536.055732,450,0.3515625
1541424536.132914,460,0.328125
1541424536.210838,470,0.3125
1541424536.287711,480,0.3203125
1541424536.364474,490,0.265625
1541424536.441511,500,0.2734375
1541424536.519194,510,0.3671875
1541424536.596665,520,0.3671875
1541424536.674928,530,0.3515625
1541424536.752301,540,0.3828125
1541424536.82839,550,0.4140625
1541424536.904175,560,0.3515625
1541424536.981719,570,0.34375
1541424537.059117,580,0.34375
1541424537.135399,590,0.4140625
1541424537.212055,600,0.375
1541424537.289162,610,0.4140625
1541424537.366208,620,0.359375
1541424537.444363,630,0.4140625
1541424537.521791,640,0.3359375
1541424537.598893,650,0.4140625
1541424537.677292,660,0.421875
1541424537.753706,670,0.3828125
1541424537.82987,680,0.375
1541424537.906678,690,0.3359375
1541424537.982752,700,0.390625
1541424538.05936,710,0.421875
1541424538.136186,720,0.375
1541424538.212579,730,0.4375
1541424538.28933,740,0.3359375
1541424538.367534,750,0.3515625
1541424538.444173,760,0.3359375
1541424538.520921,770,0.375
1541424538.597419,780,0.3046875
1541424538.673943,790,0.3671875
1541424538.750665,800,0.453125
1541424538.827427,810,0.3984375
1541424538.90359,820,0.3359375
1541424538.980131,830,0.3203125
1541424539.056419,840,0.3125
1541424539.132041,850,0.3203125
1541424539.209365,860,0.359375
1541424539.28664,870,0.4140625
1541424539.363083,880,0.375
1541424539.439704,890,0.4140625
1541424539.51704,900,0.4765625
1541424539.593581,910,0.3515625
1541424539.669733,920,0.3671875
1541424539.747153,930,0.328125
1541424539.82453,940,0.3984375
1541424539.902358,950,0.359375
1541424539.979589,960,0.3671875
1541424540.056059,970,0.3359375
1541424540.132309,980,0.390625
1541424540.210149,990,0.3515625
1541424540.287425,1000,0.3828125
1541424540.468423,1010,0.359375
1541424540.547871,1020,0.4375
1541424540.625873,1030,0.421875
