Wall time,Step,Value
1541424857.939708,0,0.09375
1541424858.167266,10,0.203125
1541424858.256237,20,0.140625
1541424858.342285,30,0.203125
1541424858.425725,40,0.234375
1541424858.508836,50,0.1875
1541424858.591895,60,0.28125
1541424858.67616,70,0.2265625
1541424858.759895,80,0.328125
1541424858.843713,90,0.25
1541424858.92756,100,0.3046875
1541424859.009787,110,0.296875
1541424859.091995,120,0.2734375
1541424859.17742,130,0.3125
1541424859.26188,140,0.21875
1541424859.344254,150,0.3046875
1541424859.426682,160,0.3125
1541424859.509047,170,0.2578125
1541424859.591614,180,0.2578125
1541424859.674181,190,0.328125
1541424859.756565,200,0.3515625
1541424859.839787,210,0.2890625
1541424859.92245,220,0.265625
1541424860.004787,230,0.25
1541424860.087083,240,0.3046875
1541424860.170771,250,0.328125
1541424860.254822,260,0.28125
1541424860.338273,270,0.4140625
1541424860.42069,280,0.3359375
1541424860.503275,290,0.3359375
1541424860.586723,300,0.3671875
1541424860.670363,310,0.3203125
1541424860.753154,320,0.328125
1541424860.836396,330,0.4296875
1541424860.918627,340,0.3125
1541424861.002055,350,0.2734375
1541424861.086297,360,0.296875
1541424861.169518,370,0.375
1541424861.251762,380,0.34375
1541424861.335388,390,0.328125
1541424861.418783,400,0.390625
1541424861.501503,410,0.3125
1541424861.585539,420,0.34375
1541424861.669093,430,0.296875
1541424861.750473,440,0.375
1541424861.833233,450,0.3359375
1541424861.91615,460,0.359375
1541424861.999061,470,0.421875
1541424862.082549,480,0.28125
1541424862.167299,490,0.34375
1541424862.251241,500,0.375
1541424862.335057,510,0.3359375
1541424862.416627,520,0.375
1541424862.499246,530,0.3203125
1541424862.582749,540,0.40625
1541424862.666143,550,0.359375
1541424862.748894,560,0.3515625
1541424862.831701,570,0.3671875
1541424862.915342,580,0.3515625
1541424862.996632,590,0.390625
1541424863.079032,600,0.3203125
1541424863.161185,610,0.3828125
1541424863.244736,620,0.3671875
1541424863.327165,630,0.3671875
1541424863.409201,640,0.265625
1541424863.491221,650,0.4453125
1541424863.575249,660,0.3671875
1541424863.656902,670,0.3359375
1541424863.740189,680,0.328125
1541424863.824145,690,0.28125
1541424863.907458,700,0.359375
1541424863.989877,710,0.4140625
1541424864.072746,720,0.3046875
1541424864.154912,730,0.4609375
1541424864.237291,740,0.3828125
1541424864.320715,750,0.453125
1541424864.40273,760,0.359375
1541424864.484471,770,0.3828125
1541424864.56683,780,0.3984375
1541424864.650176,790,0.3828125
1541424864.733109,800,0.3515625
1541424864.817246,810,0.3828125
1541424864.899508,820,0.359375
1541424864.982312,830,0.3984375
1541424865.06526,840,0.421875
1541424865.148333,850,0.3359375
1541424865.230273,860,0.390625
1541424865.311795,870,0.34375
1541424865.394347,880,0.46875
1541424865.904516,890,0.2890625
1541424865.990818,900,0.375
1541424866.270303,910,0.28125
1541424866.354845,920,0.390625
1541424866.438225,930,0.4140625
1541424866.522369,940,0.3359375
1541424866.604745,950,0.3359375
1541424866.688067,960,0.3828125
1541424866.771817,970,0.4375
1541424866.856455,980,0.3671875
